claim_id,policy_holder_age,vehicle_age_years,claim_amount_requested,previous_claims_count,incident_type,damage_severity,ai_approval_recommendation
CLM_1126,51,0,35000,0,Front Collision,Severe,Manual Review
CLM_1127,50,7,35000,0,Front Collision,Minor,Approve
CLM_1128,65,3,75000,0,Front Collision,Minor,Approve
CLM_1129,40,10,35000,0,Rear Collision,Severe,Approve
CLM_1130,41,0,15000,1,Front Collision,Moderate,Approve
CLM_1131,54,7,300000,0,Rear Collision,Minor,Approve
CLM_1132,52,3,300000,1,Rear Collision,Severe,Approve
CLM_1133,61,5,150000,2,Parked Scrape,Minor,Approve
CLM_1134,57,7,35000,0,Rollover,Moderate,Approve
CLM_1135,39,3,15000,1,Rollover,Minor,Manual Review
CLM_1136,44,13,150000,1,Rear Collision,Minor,Approve
CLM_1137,52,2,75000,0,Parked Scrape,Minor,Approve
CLM_1138,18,13,150000,0,Rear Collision,Moderate,Approve
CLM_1139,52,8,150000,0,Rear Collision,Minor,Approve
CLM_1140,54,2,35000,0,Rear Collision,Minor,Manual Review
CLM_1141,64,8,75000,0,Parked Scrape,Minor,Approve
CLM_1142,31,12,150000,0,Rollover,Moderate,Approve
CLM_1143,20,1,15000,2,Parked Scrape,Severe,Manual Review
CLM_1144,18,13,15000,1,Front Collision,Minor,Approve
CLM_1145,22,1,300000,0,Parked Scrape,Moderate,Approve
CLM_1146,43,1,75000,0,Parked Scrape,Severe,Manual Review
CLM_1147,31,5,75000,0,Parked Scrape,Moderate,Approve
CLM_1148,56,2,300000,0,Parked Scrape,Minor,Approve
CLM_1149,44,12,150000,0,Rollover,Minor,Reject
CLM_1150,26,8,75000,1,Front Collision,Minor,Approve
CLM_1151,32,3,15000,0,Rollover,Minor,Approve
CLM_1152,32,0,15000,1,Rollover,Minor,Approve
CLM_1153,43,3,35000,3,Parked Scrape,Moderate,Reject
CLM_1154,59,0,75000,0,Rear Collision,Minor,Approve
CLM_1155,30,13,150000,1,Rear Collision,Minor,Approve
CLM_1156,68,4,300000,0,Rollover,Moderate,Approve
CLM_1157,49,3,300000,0,Rollover,Minor,Approve
CLM_1158,56,7,150000,0,Parked Scrape,Moderate,Approve
CLM_1159,66,7,35000,1,Rollover,Moderate,Approve
CLM_1160,69,6,300000,1,Parked Scrape,Minor,Approve
CLM_1161,49,2,75000,1,Rear Collision,Moderate,Approve
CLM_1162,21,0,35000,2,Rear Collision,Moderate,Approve
CLM_1163,47,0,75000,1,Front Collision,Moderate,Approve
CLM_1164,54,11,15000,3,Rear Collision,Minor,Approve
CLM_1165,40,10,35000,1,Rollover,Minor,Approve
CLM_1166,56,2,300000,1,Rear Collision,Moderate,Manual Review
CLM_1167,62,5,35000,0,Parked Scrape,Minor,Approve
CLM_1168,32,6,35000,0,Rear Collision,Minor,Approve
CLM_1169,60,5,35000,1,Front Collision,Minor,Approve
CLM_1170,46,13,35000,0,Rear Collision,Moderate,Manual Review
CLM_1171,53,13,75000,0,Parked Scrape,Minor,Manual Review
CLM_1172,30,5,15000,2,Parked Scrape,Severe,Approve
CLM_1173,49,5,150000,0,Rollover,Moderate,Approve
CLM_1174,24,12,35000,0,Rear Collision,Moderate,Reject
CLM_1175,68,2,300000,1,Parked Scrape,Severe,Approve
CLM_1176,39,5,35000,1,Front Collision,Moderate,Approve
CLM_1177,45,7,300000,0,Rollover,Severe,Approve
CLM_1178,19,10,75000,1,Front Collision,Minor,Approve
CLM_1179,59,10,300000,1,Rear Collision,Moderate,Reject
CLM_1180,62,1,150000,0,Rear Collision,Minor,Manual Review
CLM_1181,23,4,15000,0,Rear Collision,Minor,Approve
CLM_1182,45,13,300000,1,Rollover,Moderate,Approve
CLM_1183,45,0,300000,0,Parked Scrape,Moderate,Reject
CLM_1184,61,11,15000,0,Rollover,Minor,Manual Review
CLM_1185,61,14,150000,0,Front Collision,Moderate,Approve
CLM_1186,37,0,35000,0,Rollover,Severe,Reject
CLM_1187,47,4,300000,0,Front Collision,Moderate,Reject
CLM_1188,28,11,15000,0,Rollover,Moderate,Manual Review
CLM_1189,45,12,75000,0,Parked Scrape,Moderate,Approve
CLM_1190,42,2,15000,0,Front Collision,Severe,Approve
CLM_1191,56,3,75000,1,Rear Collision,Moderate,Manual Review
CLM_1192,50,2,150000,0,Rear Collision,Moderate,Approve
CLM_1193,18,0,35000,1,Rollover,Severe,Manual Review
CLM_1194,44,0,15000,0,Rear Collision,Severe,Approve
CLM_1195,69,11,300000,2,Front Collision,Minor,Approve
CLM_1196,30,11,150000,0,Rear Collision,Minor,Approve
CLM_1197,58,13,15000,3,Parked Scrape,Minor,Approve
CLM_1198,20,12,300000,1,Parked Scrape,Minor,Reject
CLM_1199,56,13,15000,0,Rollover,Moderate,Manual Review
